"gid","weekend","hour_term_8_10","hour_term_11_13","hour_term_14_16","hour_term_17_19","hour_term_20_22","hour_term_23_1","hour_term_2_4","hour_term_5_7","trip_length_km","trip_duration_min","avg_speed_kms","ln_n_coord","education","health","leisure","cafe","errand","shopping","home","work","meeting","mode"
53798,0,1,0,0,0,0,0,0,0,"1.921","16.017","8.30","3.761",0,0,0,0,0,0,0,1,0,"7"
53693,0,1,0,0,0,0,0,0,0,"9.691","31.1","18.90","5.118",0,0,0,0,0,0,0,1,0,"1"
53694,0,0,0,1,0,0,0,0,0,"1.538","20.667","4.60","3.332",0,0,0,0,0,0,1,0,0,"3"
53699,0,1,0,0,0,0,0,0,0,"15.400","15.867","59.10","5.088",0,0,0,0,0,0,0,1,0,"1"
53725,0,0,0,0,1,0,0,0,0,"6.225","49.367","7.90","4.654",0,0,0,0,0,0,1,0,0,"3"
53733,0,1,0,0,0,0,0,0,0,"2.486","7.767","19.70","3.850",0,0,0,0,0,0,0,1,0,"1"
53734,0,0,0,0,1,0,0,0,0,"0.284","6.183","5.40","2.565",0,0,0,0,0,0,1,0,0,"7"
53742,0,1,0,0,0,0,0,0,0,"9.713","46.767","12.70","4.277",0,0,0,0,0,0,0,1,0,"3"
53700,0,0,0,0,1,0,0,0,0,"28.783","21.417","80.90","5.521",0,0,0,0,0,0,1,0,0,"1"
53701,0,1,0,0,0,0,0,0,0,"2.533","14.167","12.40","4.007",0,0,0,0,0,0,0,1,0,"3"
53703,0,0,0,0,0,1,0,0,0,"12.936","11.483","68.40","4.875",0,0,0,0,0,0,1,0,0,"1"
53726,0,1,0,0,0,0,0,0,0,"0.814","7.033","8.70","3.045",0,0,0,0,0,0,0,1,0,"6"
53704,0,0,0,0,0,1,0,0,0,"10.323","24.617","25.60","5.106",0,0,1,0,0,0,0,0,0,"1"
53707,0,1,0,0,0,0,0,0,0,"5.703","19.483","17.90","4.779",1,0,0,0,0,0,0,0,0,"2"
53803,0,0,1,0,0,0,0,0,0,"1.796","38.45","3.80","3.912",1,0,0,0,0,0,0,0,0,"3"
53727,0,1,0,0,0,0,0,0,0,"0.741","14.367","3.90","2.485",1,0,0,0,0,0,0,0,0,"4"
53728,0,1,0,0,0,0,0,0,0,"2.361","13.7","10.70","3.807",0,0,0,0,0,0,0,1,0,"1"
53705,0,1,0,0,0,0,0,0,0,"22.980","50.683","27.30","5.680",1,0,0,0,0,0,0,0,0,"3"
53706,0,0,0,0,0,0,0,0,1,"6.571","18.5","22.10","4.663",0,0,0,0,0,0,0,1,0,"1"
53875,0,1,0,0,0,0,0,0,0,"0.754","11.083","4.20","2.890",0,0,0,0,0,0,0,1,0,"3"
53709,0,1,0,0,0,0,0,0,0,"16.266","13.483","72.90","5.063",0,0,0,0,1,0,0,0,0,"1"
53710,0,1,0,0,0,0,0,0,0,"0.965","4.367","17.30","3.135",0,0,1,0,0,0,0,0,0,"1"
53711,0,1,0,0,0,0,0,0,0,"7.594","25.983","17.80","4.691",0,0,1,0,0,0,0,0,0,"1"
53712,0,1,0,0,0,0,0,0,0,"0.936","2.183","31.70","3.091",0,0,0,0,0,1,0,0,0,"1"
53713,0,1,0,0,0,0,0,0,0,"5.203","31.467","10.00","4.234",0,0,0,0,0,0,0,1,0,"3"
53716,0,1,0,0,0,0,0,0,0,"13.837","15.4","54.40","4.997",1,0,0,0,0,0,0,0,0,"1"
53717,0,0,0,0,0,0,0,0,1,"10.807","38.333","17.50","4.143",0,1,0,0,0,0,0,0,0,"3"
53718,0,0,0,0,0,0,0,0,1,"0.314","8.767","5.00","2.773",0,1,0,0,0,0,0,0,0,"3"
53719,0,1,0,0,0,0,0,0,0,"3.072","6.783","28.00","3.784",0,0,0,0,0,0,0,1,0,"1"
53720,0,0,0,0,0,0,1,0,0,"7.133","12.9","34.00","4.754",0,0,0,0,0,0,0,0,1,"5"
58200,0,0,0,0,1,0,0,0,0,"2.249","12.633","11.40","2.773",0,0,1,0,0,0,0,0,0,"3"
53721,0,1,0,0,0,0,0,0,0,"16.692","69.417","14.50","5.545",0,0,0,1,0,0,0,0,0,"1"
53722,0,1,0,0,0,0,0,0,0,"1.860","4.65","24.60","3.497",0,0,0,1,0,0,0,0,0,"1"
53723,0,0,0,1,0,0,0,0,0,"5.137","133.433","2.40","4.575",0,0,0,0,0,0,1,0,0,"4"
53729,0,1,0,0,0,0,0,0,0,"9.465","15.867","36.90","4.963",0,0,0,0,0,0,0,1,0,"1"
53881,0,0,0,1,0,0,0,0,0,"3.258","14.95","15.00","4.094",0,0,0,1,0,0,0,0,0,"1"
53730,0,0,0,1,0,0,0,0,0,"4.807","42.1","7.10","4.477",0,0,0,0,0,0,1,0,0,"3"
53731,0,1,0,0,0,0,0,0,0,"5.744","16.133","22.10","4.575",0,0,0,0,0,0,0,1,0,"1"
53740,0,0,0,0,0,0,1,0,0,"9.697","18.65","31.50","4.927",0,0,0,0,0,0,1,0,0,"6"
53845,0,0,0,0,0,0,0,0,1,"1.212","5.817","13.50","3.091",0,0,0,0,0,0,0,0,1,"3"
53741,0,0,0,0,1,0,0,0,0,"16.634","31.5","33.40","5.394",0,0,1,0,0,0,0,0,0,"1"
