gid,weekend,hour_8_10,hour_11_13,hour_14_16,hour_17_19,hour_20_22,hour_23_1,hour_2_4,hour_5_7,num_coord,trip_dist,trip_time,trip_aspeed,act_edu,act_health,act_leisure,act_meal,act_errand,act_shop,act_home,act_work,act_meeting,mode
53798,0,1,0,0,0,0,0,0,0,3.761,1.0719260234056,2.8342128443893,2.23001440015921,0,0,0,0,0,0,0,1,0,7
53693,0,1,0,0,0,0,0,0,0,5.118,2.36940226603136,3.46885603013597,2.99071973173045,0,0,0,0,0,0,0,1,0,1
53694,0,0,0,1,0,0,0,0,0,3.332,0.931376369292196,3.07579036572457,1.7227665977411,0,0,0,0,0,0,1,0,0,3
53699,0,1,0,0,0,0,0,0,0,5.088,2.79728133483015,2.82535905027588,4.09600984154116,0,0,0,0,0,0,0,1,0,1
53725,0,0,0,0,1,0,0,0,0,4.654,1.9775472339985,3.91933619872237,2.18605127673809,0,0,0,0,0,0,1,0,0,3
53733,0,1,0,0,0,0,0,0,0,3.85,1.24875494709783,2.17099467260645,3.03013370027132,0,0,0,0,0,0,0,1,0,1
53734,0,0,0,0,1,0,0,0,0,2.565,0.249980205267769,1.97171712309266,1.85629799036563,0,0,0,0,0,0,1,0,0,7
53742,0,1,0,0,0,0,0,0,0,4.277,2.37145795728042,3.86633502450873,2.61739583283408,0,0,0,0,0,0,0,1,0,3
53700,0,0,0,0,1,0,0,0,0,5.521,3.3939377609329,3.10981959959176,4.40549899085902,0,0,0,0,0,0,1,0,0,1
53701,0,1,0,0,0,0,0,0,0,4.007,1.26214736837701,2.71912201506926,2.59525470695687,0,0,0,0,0,0,0,1,0,3
53703,0,0,0,0,0,1,0,0,0,4.875,2.63447542011015,2.52436771866891,4.23988686751276,0,0,0,0,0,0,1,0,0,1
53726,0,1,0,0,0,0,0,0,0,3.045,0.595534351692945,2.08355805719168,2.27212588550934,0,0,0,0,0,0,0,1,0,6
53704,0,0,0,0,0,1,0,0,0,5.106,2.4268360553319,3.24325619359358,3.28091121578765,0,0,1,0,0,0,0,0,0,1
53707,0,1,0,0,0,0,0,0,0,4.779,1.90255518737582,3.01959527381852,2.9391619220656,1,0,0,0,0,0,0,0,0,2
53803,0,0,1,0,0,0,0,0,0,3.912,1.02818982437156,3.67503404729188,1.56861591791385,1,0,0,0,0,0,0,0,0,3
53727,0,1,0,0,0,0,0,0,0,2.485,0.554459660786052,2.7322223530732,1.58923520511658,1,0,0,0,0,0,0,0,0,4
53728,0,1,0,0,0,0,0,0,0,3.807,1.21223854874297,2.68784749378469,2.45958884180371,0,0,0,0,0,0,0,1,0,1
53705,0,1,0,0,0,0,0,0,0,5.68,3.17722014959937,3.94512890732514,3.34286180464919,1,0,0,0,0,0,0,0,0,3
53706,0,0,0,0,0,0,0,0,1,4.663,2.02432515912117,2.9704144655697,3.13983261752775,0,0,0,0,0,0,0,1,0,1
53875,0,1,0,0,0,0,0,0,0,2.89,0.561898893949991,2.49179950604517,1.64865862558738,0,0,0,0,0,0,0,1,0,3
53709,0,1,0,0,0,0,0,0,0,5.063,2.84873924981333,2.67297554781872,4.30271282795416,0,0,0,0,1,0,0,0,0,1
